dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_mean
cancer,26,1,distance,0.7786408900747371,0.7720642034022316,0.7725596000243887,0.0004953966221571404
cancer,28,2,uniform,0.7802687290390397,0.7702769648192184,0.7725596000243887,0.002282635205170358
cancer,9,1,uniform,0.7618141597244474,0.7531514846655691,0.7725596000243887,0.01940811535881959
cancer,13,1,uniform,0.7660668797692867,0.7483956770928601,0.7725596000243887,0.02416392293152858
cancer,7,1,distance,0.7501544993459688,0.7438265959392719,0.7725596000243887,0.02873300408511681
cancer,1,2,distance,0.6174099764779228,0.6610801170660325,0.7725596000243887,0.11147948295835619
cancer,24,1,uniform,0.7804160234569485,0.7669273215047863,0.7725596000243887,0.005632278519602463
cancer,19,1,distance,0.7744989121829109,0.7673846106944698,0.7725596000243887,0.005174989329918889
cancer,3,1,uniform,0.6978542589203374,0.7032193158953723,0.7725596000243887,0.06934028412901638
cancer,27,1,distance,0.778433402406009,0.7737142552283398,0.7725596000243887,-0.0011546552039510827
cancer,7,2,uniform,0.7560634916965834,0.7393261081641364,0.7725596000243887,0.03323349186025237
cancer,28,1,uniform,0.7774328066972462,0.7691261203585147,0.7725596000243887,0.0034334796658740396
cancer,8,2,distance,0.7617127553340305,0.7551559356136821,0.7725596000243887,0.01740366441070662
cancer,1,2,uniform,0.6174099764779228,0.6610801170660325,0.7725596000243887,0.11147948295835619
cancer,23,2,distance,0.7775556541515025,0.7705665813060179,0.7725596000243887,0.001993018718370876
cancer,5,1,distance,0.7333457036306904,0.7493826595939271,0.7725596000243887,0.02317694043046159
cancer,8,2,uniform,0.7618488611710695,0.7461473385769161,0.7725596000243887,0.026412261447472662
cancer,3,1,uniform,0.6978542589203374,0.7032193158953723,0.7725596000243887,0.06934028412901638
cancer,5,1,distance,0.7333457036306904,0.7493826595939271,0.7725596000243887,0.02317694043046159
cancer,3,1,uniform,0.6978542589203374,0.7032193158953723,0.7725596000243887,0.06934028412901638
cancer,26,1,uniform,0.7777348606326291,0.7641111822449851,0.7725596000243887,0.008448417779403639
cancer,14,1,uniform,0.7657905537759063,0.747511584659472,0.7725596000243887,0.025048015364916743
cancer,9,1,uniform,0.7618141597244474,0.7531514846655691,0.7725596000243887,0.01940811535881959
cancer,26,2,distance,0.7810303297469405,0.772624382659594,0.7725596000243887,-6.478263520526273e-05
cancer,13,1,uniform,0.7660668797692867,0.7483956770928601,0.7725596000243887,0.02416392293152858
cancer,7,1,distance,0.7501544993459688,0.7438265959392719,0.7725596000243887,0.02873300408511681
cancer,29,2,distance,0.7832031813764491,0.7781613925980123,0.7725596000243887,-0.005601792573623587
cancer,30,1,uniform,0.7803771835233071,0.772468142186452,0.7725596000243887,9.145783793673701e-05
cancer,7,1,uniform,0.7496555644659532,0.7317236753856473,0.7725596000243887,0.04083592463874142
cancer,11,1,distance,0.765412952718432,0.7633947625144808,0.7725596000243887,0.00916483750990793
cancer,13,2,uniform,0.7715836833211883,0.7569279312237059,0.7725596000243887,0.015631668800682785
cancer,27,1,distance,0.778433402406009,0.7737142552283398,0.7725596000243887,-0.0011546552039510827
cancer,28,2,distance,0.783244783622078,0.7734589354307665,0.7725596000243887,-0.0008993354063777659
cancer,13,2,uniform,0.7715836833211883,0.7569279312237059,0.7725596000243887,0.015631668800682785
cancer,21,2,distance,0.7776194358839204,0.7705703920492653,0.7725596000243887,0.001989207975123475
cancer,28,2,distance,0.783244783622078,0.7734589354307665,0.7725596000243887,-0.0008993354063777659
cancer,20,2,distance,0.77761614813628,0.7700140235351504,0.7725596000243887,0.002545576489238366
cancer,11,2,distance,0.7691280076647955,0.7613674471068836,0.7725596000243887,0.011192152917505083
cancer,23,2,uniform,0.7776015410072605,0.7638025120419487,0.7725596000243887,0.008757087982440015
cancer,7,2,uniform,0.7560634916965834,0.7393261081641364,0.7725596000243887,0.03323349186025237
cancer,1,1,uniform,0.6093224905643514,0.6702335223461984,0.7725596000243887,0.10232607767819035
cancer,30,1,distance,0.7805941852762197,0.776751417596488,0.7725596000243887,-0.004191817572099299
cancer,13,1,uniform,0.7660668797692867,0.7483956770928601,0.7725596000243887,0.02416392293152858
cancer,7,2,distance,0.7572813325329771,0.7509679287848303,0.7725596000243887,0.021591671239558408
cancer,27,1,distance,0.778433402406009,0.7737142552283398,0.7725596000243887,-0.0011546552039510827
cancer,5,1,uniform,0.7315834388654002,0.7411400219498812,0.7725596000243887,0.03141957807450757
cancer,10,2,distance,0.7684403316702084,0.7565278031827327,0.7725596000243887,0.01603179684165601
cancer,15,1,distance,0.7704862727206203,0.7639854277178221,0.7725596000243887,0.008574172306566652
cancer,24,1,distance,0.7788540957538495,0.7725596000243887,0.7725596000243887,0.0
cancer,17,2,uniform,0.7736669842224281,0.7570193890616426,0.7725596000243887,0.01554021096274616
cancer,26,2,distance,0.7810303297469405,0.772624382659594,0.7725596000243887,-6.478263520526273e-05
cancer,30,1,distance,0.7805941852762197,0.776751417596488,0.7725596000243887,-0.004191817572099299
cancer,3,1,uniform,0.6978542589203374,0.7032193158953723,0.7725596000243887,0.06934028412901638
cancer,17,2,uniform,0.7736669842224281,0.7570193890616426,0.7725596000243887,0.01554021096274616
